mouse,age.at.S1K,MZ_Ki67+,T1 AA4.1+_Ki67+,MZ_total,T1 AA4.1+_total,frac_MZ_Ki67+,frac_T1_AA4.1+_Ki67+
Samples_Spleen_002_d11_017.fcs,11,2750.222222222222,2766194.6666666665,12058.666666666666,4145272.4444444445,0.2280701754385965,0.6673131148168467
Samples_Spleen_003_d11_018.fcs,11,1000.0,1983750.0,7450.0,3223400.0000000005,0.1342281879194631,0.6154216045169696
Samples_Spleen_004_d11_019.fcs,11,2849.8053097345132,2222848.1415929203,18873.238938053095,3302816.814159292,0.15099715099715103,0.6730158730158731
Samples_Spleen_006_d14_021.fcs,14,56055.04273504274,3831314.6666666665,173580.61538461538,6970682.085470086,0.32293377120963335,0.5496326786517466
Samples_Spleen_007_d14_022.fcs,14,27720.194489465157,6049773.743922204,65914.81361426256,8923469.173419774,0.42054574638844305,0.6779620824984289
Samples_Spleen_009_d14_024.fcs,14,32426.32911392405,4914301.518987342,102645.3164556962,9792408.860759493,0.31590656284760843,0.5018480732233429
Samples_Spleen_010_d14_025.fcs,14,45418.865979381444,4218351.683848797,152588.31615120274,8129738.591065292,0.29765625,0.5188791295804801
X20181210_Spleen_d18_002_055.fcs,18,3931.7673716012087,1206533.2930513595,120475.28700906344,8048253.625377644,0.03263546798029557,0.1499124343257443
X20181210_Spleen_d18_003_056.fcs,18,5757.748776508973,3104932.4632952693,95047.14518760196,13259741.109298531,0.06057781919850886,0.2341623744914524
Samples_SPLEEN_010_025.fcs,19,1181.392405063291,782377.1202531646,15998.022151898735,2180226.8670886075,0.07384615384615384,0.35885124253051764
X20190103_Spleen_d20_001_013.fcs,20,3214.09691629956,327330.3964757709,60898.67841409692,13915009.691629956,0.052777777777777785,0.023523547861606167
X20190103_Spleen_d20_003_015.fcs,20,8455.49195369019,3069969.9119268497,77038.92668917729,9794591.346059792,0.10975609756097562,0.3134352218953831
X20190103_Spleen_d20_004_016.fcs,20,10975.889763779527,3140785.4645669293,57549.259842519685,7829665.79527559,0.19072164948453607,0.40113914778611304
X20181023_MV60_Bcells_SPL_002.fcs,22,49490.72438162544,4235949.169611308,206642.80918727914,8433219.434628977,0.23949889462048637,0.5022932466594439
X20181023_MV60_Bcells_SPL_004.fcs,22,69600.1083032491,1749058.4837545126,297029.45848375454,3782727.075812274,0.2343205574912892,0.46238030095759236
X20181023_MV60_Bcells_SPL_005.fcs,22,44294.91712707182,2238135.91160221,260945.3038674033,4656960.0,0.16974789915966387,0.4806002009040683
X20190129_Spleen_23d_003_003.fcs,23,7623.813169984686,1845901.102603369,160686.52373660033,6310523.3843797855,0.04744525547445255,0.29251156998680367
X20190129_Spleen_23d_004_004.fcs,23,15631.654676258991,1530612.9496402878,289910.7913669065,6080230.2158273375,0.05391884380211228,0.2517360190829579
X20190103_Spleen_d24_009_021.fcs,24,111214.71861471861,1633792.2077922078,496397.40259740263,3147971.212121212,0.22404371584699453,0.5189984589126221
X20190103_Spleen_d24_010_022.fcs,24,101907.90106823212,250399.384082379,444160.8122413627,612356.8472716775,0.22943919918098055,0.4089108910891089
X20190129_Spleen_24d_001_016.fcs,24,117642.9392971246,848131.6293929713,764260.4472843452,4155810.0958466455,0.1539304300191728,0.20408334592588862
X20190129_Spleen_24d_002_017.fcs,24,85103.16742081448,780096.8325791856,621728.5067873303,4968701.357466063,0.13688155922038983,0.1570021573961167
X20190108_Spleen_d25_001_001.fcs,25,30004.73451327434,893951.9469026548,385676.90265486727,4104114.646017699,0.07779759251003121,0.21781846366550056
X20190108_Spleen_d25_002_002.fcs,25,9006.797583081572,1262905.9667673716,170704.30513595167,5085526.812688821,0.05276256844201096,0.24833336118026436
X20181120_MV60_d26_SPLEEN_001_016.fcs,26,93482.14285714287,1503482.142857143,739419.6428571428,3987991.071428572,0.12642637203405183,0.37700238439063705
X20181120_MV60_d26_SPLEEN_002_017.fcs,26,65963.07692307692,1434900.512820513,629988.1025641026,4257468.717948718,0.10470527404343329,0.3370313695485846
X20181120_MV60_d26_SPLEEN_003_018.fcs,26,50990.58064516129,2536689.6774193547,641967.7419354839,7539452.580645162,0.07942857142857142,0.33645541904877746
X20190201_Spleen_27d_005_015.fcs,27,88598.28648403139,598631.2446865088,699301.3171634983,1799773.9509858345,0.12669543773119607,0.33261468439334047
X20190103_Spleen_d28_007_019.fcs,28,110242.35385210994,1972566.0085172278,740168.0216802168,5123266.744096012,0.14894233555491163,0.385021141206514
X20190103_Spleen_d28_008_020.fcs,28,121168.54838709677,1720838.1720430108,721870.806451613,3539427.1326164873,0.16785350966429297,0.48619115680759833
X20190108_Spleen_d29_003_003.fcs,29,46432.394366197186,1032627.7665995975,591699.2957746478,4542038.32997988,0.07847295864262992,0.22734897673225313
X20190108_Spleen_d29_004_004.fcs,29,61130.11173184357,1543028.8826815642,608679.5530726258,4846676.480446927,0.1004306969459671,0.318368450815037
Samples_SPLEEN_001_017.fcs,31,26837.234519892314,643911.6811247383,299303.3951540532,1338677.647322764,0.08966565349544074,0.4810057764186205
Samples_SPLEEN_004_020.fcs,31,30897.339901477833,701909.2610837439,383042.3645320197,1674328.9655172413,0.08066298342541436,0.4192182513350397
Samples_SPLEEN_011_026.fcs,36,10085.83468395462,414340.1620745543,284983.4683954619,1852079.805510535,0.03539094650205762,0.22371614918631402
X20190129_Spleen_45d_002_002.fcs,53,47178.94736842105,331769.0977443609,2654489.77443609,1577798.7969924812,0.017773263932969404,0.21027338744126442
X20190201_Spleen_57d_006_016.fcs,57,63235.64189189189,981979.2567567568,1400739.7297297297,1796173.277027027,0.045144462279293744,0.5467063057424504
X20180907_TH283_Bcells_SP_002.fcs,71,74632.21327967806,615670.1408450705,4400745.935613682,2630922.3742454727,0.016958991582701,0.23401303925648498
